MSA;0; هناك ، أمام بيانات السائح تماما .;7;15
MSA;0; لم اسمع بهذا العنوان من قبل بالقرب من هنا .;10;22
MSA;0; استمر في السير في هذا الطريق حتى تجد صيدلية .;10;22
MSA;0; كم تكلفة الإفطار ؟;4;9
MSA;0; كيف أستطيع مساعدتك ؟;4;9
MSA;0; اتجه يسارا عند الناصية الثالثة .;6;13
MSA;0; هل تحب أن تضع قشدة وسكر في قهوتك ؟;9;20
MSA;0; هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟;10;22
MSA;0; إذا حدث ذلك ، من فضلك أتصل بي .;9;20
MSA;0; أين المقهى ؟;3;7
MSA;0; أريد جاكيت للأطفال .;4;9
MSA;0; حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .;16;35
MSA;0; هل لديك أحذية حريمي عند أصابع القدم ؟;8;17
MSA;0; هل ستواجهني أية صعوبات في الجمارك ؟;7;15
MSA;0; لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .;17;37
MSA;0; أريد تمويج متقارب لشعري ، من فضلك .;8;17
MSA;0; هي تريد بيرة .;4;9
MSA;0; صباح الخير . كيف حالك .;6;13
MSA;0; أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .;12;26
MSA;0; أي نوع من الملابس ؟;5;11
MSA;0; هذا بارد إلى حد ما . هل يمكن أن تقوم بتسخينه ؟;12;26
MSA;0; أنا بحالة جدية ، لكن هل تمانع في الاتصال بصديق ؟;11;24
MSA;0; من هو أفضل صديق لك ؟;6;13
MSA;0; يوم الصحة الرياضية هو يوم العاشر من أكتوبر وهو إجازة قومية الغرض منها تحسين صحة المواطنين .;17;37
MSA;0; هل تريد أن افحص موتور السيارة ؟;7;15
MSA;0; هل لك أن تساعدني في الوصول إلى حقيبتي ؟;9;20
MSA;0; هل ستقوم بعمل الترتيبات مقدماً ؟;6;13
MSA;0; تقدم إلىّ المساعدة ، شكراً لك .;7;15
MSA;0; عندما تصل هناك أسأل شخص آخر ، من فضلك .;10;22
MSA;0; أريد الامتداد أربع وعشرون ، من فضلك .;8;17
MSA;0; تفضل هذان دولاران . احتفظ بالباقي .;7;15
MSA;5; واحد هامبرجر وواحد شيز برجر ، من فضلك .;9;20
